id,sex,bw_6,bw_12,bw_18,bw_24,dead,age(days),target
UT06738,0,32,34.5,41.9,43.5,1,942,402
UT06739,0,22,25.3,41.9,35.4,1,913,373
UT06743,0,23,26.2,32.3,33.7,1,685,145
UT06744,0,21,28.6,40.2,0,1,464,-76
UT06745,0,25,27.3,39.2,39.5,1,803,263
UT06746,0,28,30.7,38.5,37.3,1,1017,477
UT06770,0,23,26.9,39.9,39.2,1,1096,556
UT06771,0,25,28.5,43.3,0,1,453,-87
UT06772,0,22,24.5,32.2,37.9,1,889,349
UT06773,0,20,23.4,34.4,31.3,1,597,57
UT06777,0,37,39.1,58.4,59.4,1,741,201
UT06778,0,35,37.9,50.9,45.4,1,833,293
UT06779,0,22,23.5,33.7,27.4,1,579,39
UT06780,0,49,35.1,57.4,59.2,1,956,416
UT06822,0,29,31.2,43.9,33.2,1,581,41
UT06823,0,38,39.3,50.6,53,1,955,415
UT06824,0,22,24.4,32.4,40,1,1140,600
UT06825,0,22,25.4,37.7,40.8,1,741,201
UT06850,0,36,37.1,52.5,55.4,1,1154,614
UT06851,0,28,30,42.3,45.7,1,899,359
UT06852,0,29,30.8,42.5,44.6,1,934,394
UT06853,0,23,26.1,37.5,41.3,1,944,404
UT06867,0,33,35.6,49.3,50.8,1,1110,570
UT06868,0,35,37.5,49.7,55.7,1,1132,592
UT06869,0,35,27.1,42.6,40.4,1,958,418
UT06870,0,38,30.2,43,46.1,1,868,328
JL06480,1,36,42,42,39,1,1093,553
JL06481,1,34,41,42,43,1,1169,629
JL06482,1,44,49,51,0,1,666,126
JL06507,1,42,45,46,47,1,1207,667
JL06509,1,48,55,56,0,1,727,187
JL06510,1,34,47,46,47,1,1162,622
JL06511,1,47,51,52,0,1,644,104
JL06512,1,36,50,0,0,1,498,-42
JL06519,1,42,47,0,0,1,602,62
JL06520,1,44,48,50,41,1,743,203
JL06521,1,45,49,49,35,1,748,208
JL06525,1,42,45,49,48,1,819,279
JL06526,1,43,47,50,50,1,906,366
JL06527,1,39,42,45,46,1,1051,511
JL06534,1,32,42,44,45,1,1309,769
JL06535,1,46,53,54,44,1,764,224
JL06536,1,46,52,32,27,1,853,313
JL06540,1,35,0,0,0,1,327,-213
JL06541,1,44,54,0,0,1,405,-135
JL06542,1,38,44,61,66,1,782,242
JL06546,1,46,48,47,48,1,872,332
JL06547,1,38,44,45,0,1,592,52
JL06548,1,48,50,41,0,1,610,70
JL06561,1,46,50,50,37,1,819,279
JL06562,1,49,50,43,0,1,686,146
JL06563,1,45,52,0,0,1,470,-70
JL06570,1,51,57,0,0,1,477,-63
JL06571,1,44,47,45,45,1,805,265
JL06572,1,44,49,0,0,1,394,-146
JL06601,1,43,47,47,0,1,729,189
JL06602,1,53,57,0,0,1,483,-57
JL06603,1,45,55,42,0,1,679,139
JL07023,1,27,24,32,31,1,1049,509
JL07024,1,47,56,0,0,1,494,-46
JL07025,1,39,43,42,42,1,853,313
JL07053,1,38,43,44,47,1,1101,561
JL07054,1,39,45,0,0,1,534,-6
